product_name;group_id;family_id;subfamily_id;segment_id
Brochette d'agneau 120/130 g;888001;944001;1244001;2261001
Carré d'agneau 5/7 côtes sg 300/450 g;889001;935001;1156001;1968001
Collier d'agneau pour navarin a/os s/v 70/90 g;888001;944001;1244001;2262001
Côte d'agneau première sg 60/90 g;889001;935001;1156001;1968001
Gigot d'agneau cuit 1/1,8 kg;891001;941001;1219001;2201001
Agneau entier kg;888001;944001;1244001;2263001
Brochette de d'agneau marinée sg 150/170 g;889001;935001;1156001;1968001
Côte d'agneau filet double s/v 170/200 g;888001;944001;1244001;2261001
Côte d'agneau première 70/100 g;888001;944001;1244001;2261001
Epaule d'agneau s/os ficelée UE s/v 1,2 kg;888001;944001;1244001;2261001
Gigot d'agneau a/os 2 kg et plus;888001;944001;1244001;2261001
Gigot d'agneau a/os selle désossée sg 1,5/2 kg;889001;935001;1156001;1968001
Gigot d'agneau s/os sg 1,5 kg;889001;935001;1156001;1968001
Sauté d'agneau collier s/os s/v 70/90 g;888001;944001;1244001;2262001
Agneau entier n°1 halal kg;888001;944001;1244001;2263001
Gigot d'agneau tranché 120/160 g;888001;944001;1244001;2261001
Agneau aux légumes mixé hyperprotéiné 180 g;891001;943001;1238001;2247001
Navarin de mouton s/os sg 65 g;889001;935001;1156001;1968001
Sauté d'agneau s/os épaule UE 70/90 g;888001;944001;1244001;2262001
Chop d'agneau 160/180 g;888001;944001;1244001;2261001
Sauté d'agneau épaule s/os UE s/v 40/60 g;888001;944001;1244001;2262001
Aiguillette de canard UE sg 500 g;889001;935001;1156001;1969001
Aiguillette de canard s/v 200/300 g;892001;942001;1224001;2219001
Aiguillette de canard sg 25/50 g;889001;935001;1156001;1969001
Aiguillette de chapon crue sg kg;889001;935001;1156001;1970001
Aiguillette de dinde en sauce épicée sg kg;889001;935001;1158001;1983001
Aiguillettes d'orange confites 1 kg;885001;903001;1003001;1505001
Aiguillette de poulet 30/60 sg 1 kg;889001;935001;1156001;1969001
Aiguillette de poulet 20/40 sg 1 kg;889001;935001;1156001;1969001
Aiguillette de poulet s/v 1 kg;892001;942001;1222001;2213001
Aiguillette de poulet marinée sg kg;889001;935001;1158001;1983001
Aiguillettes de poulet enrobées cuites sg 40/50 g;889001;935001;1156001;1966001
Ail frais sachet 3 têtes;893001;939001;1204001;2158001
Ail émincé sg 500 g;889001;935001;1155001;1958001
Ail émincé sg 1 kg;889001;935001;1155001;1958001
Ail émincé sg 250 g;889001;935001;1155001;1958001
Aile de raie filet s/arête s/peau sg 100/400 g;889001;935001;1157001;1977001
Ail vrac kg;893001;939001;1204001;2158001
Ail lyophilisé bt 4/4;885001;911001;1041001;1598001
Ail en poudre bt 150/160 g;885001;911001;1041001;1598001
Chapelure Ail / persil sg 250 g;889001;935001;1155001;1958001
Aile de poulet épicées sg kg;889001;935001;1156001;1966001
Ail semoule 1 kg;885001;911001;1041001;1598001
Filet de raie s/p sg 50/150 g;889001;935001;1157001;1977001
Vin d'Alsace Riesling tradition blanc 2022 75 cl;886001;928001;1124001;1850001
"Vin de Bordeaux ""Beaux-parleurs"" mousseux brut blanc 2022 75 cl";886001;928001;1124001;1845001
Prosecco D.O.C extra dry 75 cl;886001;930001;1127001;1862001
Mousseux s/alcool blanc demi sec 75 cl;886001;930001;1126001;1860001
Tartinable de poulet halal sauce oriental bq 1 kg;891001;943001;1231001;2232001
Tartinade de poulet halal saveur kebab bq 1 kg;891001;943001;1238001;2246001
Vin d'Alsace Riesling tradition blanc 2022 37,5 cl;886001;928001;1124001;1850001
Tartinade de thon halal bq 1 kg;891001;943001;1238001;2246001
Vin d'Afrique du Sud Chenin blanc 2023 75 cl;886001;928001;1124001;1853001
"Vin d'Espagne ""Verdejo Sauvignon"" blanc 2022 75 cl";886001;928001;1124001;1853001
Vin d'Espagne Tempranillo Syrah rouge 75 cl;886001;928001;1122001;1836001
Vin Haut Médoc cru bourgeois rouge 2019 magnum 1,5 lt;886001;928001;1122001;1826001
Vin Pessac Léognan rouge 2012 75 cl;886001;928001;1122001;1826001
Grands toasts ronds spécial saumon au pavot 15 tr sachet 410 g;885001;897001;972001;1412001
Grands toasts ronds nature st 410 g;885001;897001;972001;1412001
Vin Haut Médoc cru bourgeois rouge 2020 75 cl;886001;928001;1122001;1826001
Vin Haut Médoc cru bourgeois 2020 rouge 37,5 cl;886001;928001;1122001;1826001
Sirop de cannelle 1 lt;886001;924001;1103001;1779001
Colis toasts ronds briochés spécial foie gras + nature (2x36) bt 500 g;885001;897001;972001;1412001
Saumon fumé a/p kg;894001;945001;1256001;2289001
Coeur de filet de saumon 300 g;894001;945001;1256001;2289001
Vin Jurançon blanc 2021 75 cl;886001;928001;1124001;1851001
Vin Madiran rouge 2017 75 cl;886001;928001;1122001;1833001
Vin Haut Médoc rouge 2011 75 cl;886001;928001;1122001;1826001
Cervelas fumé (x12) s/at 1,5 kg;891001;941001;1219001;2193001
Vin Amarone Della Valpolicella rouge 75 cl;886001;928001;1122001;1836001
Vin Barolo D.O.C.G rouge 75 cl;886001;928001;1122001;1836001
Colis huître n°3 (St Vast/ Uta Beach/Cancale) panier 820 g;894001;945001;1254001;2279001
Perles de saveurs figue pot 200 g;894001;945001;1256001;2284001
Terrine de saumon 1 kg;894001;945001;1256001;2284001
Cigalou de porc (Araignée) s/v 750 g;888001;944001;1245001;2265001
Boudin noir à la crème brasse s/v 1,2 kg;891001;941001;1217001;2186001
Boudin noir aux oignons à l'ancienne (x7) 125 g;891001;941001;1217001;2186001
Coeur écrevisse crème de langouste et whisky 980 g;894001;945001;1256001;2284001
Kit couscous poulet merguez bq 7 kg;891001;943001;1238001;2246001
Merguez (x25) s/at 60 g;891001;941001;1217001;2182001
Saucisse fumée Knack (x24) s/v 60 g;891001;941001;1219001;2192001
"Crème légère ""Cuisson et liaison"" 18% UHT brique 1 lt";887001;936001;1168001;2024001
Velouté légumes du soleil brique 1 lt;885001;909001;1033001;1577001
Lardons demi-sel bq 1 kg;891001;941001;1217001;2183001
Cookies coeur fondant chocolat noir et pépites de chocolat (x6) 180 g;885001;898001;980001;1438001
Pain burger épinard (x30) 80 g;885001;897001;972001;1413001
"Steak ""Charolais"" (x10) s/v 120 g";888001;944001;1242001;2253001
Petit salé d'échine de porc tranché aux lentilles st 2,25 kg;891001;943001;1238001;2247001
"Vin Mâcon villages ""Cuvée Anaïs"" blanc 2020 75 cl";886001;928001;1124001;1846001
Yaourt brassé vanille lait entier (x48) 100 g;887001;936001;1167001;2019001
Yaourt brassé nature lait entier (x48) 100 g;887001;936001;1167001;2019001
Yaourt brassé nature sucré lait entier (x48) 100 g;887001;936001;1167001;2019001
Yaourt brassé nature sucré lait entier (x48) 125 g;887001;936001;1167001;2019001
Vin Haut Médoc rouge 2018 75 cl;886001;928001;1122001;1826001
"Vin Saumur Champigny ""Cuvée prestige l'Arziller"" rouge 2022 75 cl";886001;928001;1122001;1829001
Quenelle nature pauvre en sel (x50) sg 40 g;889001;935001;1153001;1949001
Filet de poulet fermier blanc VF (x6) s/v 140/160 g;892001;942001;1222001;2213001
Regali langoustine buffala sg 3 kg;889001;935001;1158001;1984001
Ratatouille bq 3,5 kg;891001;943001;1237001;2245001
Saucisse blanche à griller nature (x14) 90 g;891001;941001;1219001;2192001
"Noix de Saint Jacques "" Restauration"" s/corail 15/25 sg kg";889001;935001;1157001;1971001
"Sauce Sriracha Lime"" 1 lt";885001;910001;1038001;1588001
Petits pois extra-fins étuvée CE2 bt 5/1;885001;917001;1064001;1638001
Assortiment café boite distributrice 825 g;885001;902001;998001;1488001
Crottin chèvre 24% (x12) 60 g;887001;937001;1180001;2064001
Pain tradition 500 g;895001;933001;1143001;1908001
"Petit pain ""rustic"" 50 g";895001;933001;1143001;1907001
Baguette s/sole 250 g;895001;933001;1143001;1907001
Burrata 21% 120 g;887001;937001;1182001;2070001
Mais doux sg 10 kg;889001;935001;1155001;1955001
Sorbet poire au poivre de Penja bac 2,5 lt;889001;934001;1152001;1939001
Crème glacée délichoco bac 2,4 lt;889001;934001;1152001;1938001
Steak de boeuf 120/160 g;888001;944001;1242001;2253001
Escalope de porc (x10) 110 g;888001;944001;1245001;2264001
Rôti de veau 2,5 kg;888001;944001;1243001;2258001
"Sauté de veau ""Race à viande"" 50 g";888001;944001;1243001;2259001
Chair à saucisse de porc 2,5 kg;891001;941001;1217001;2182001
Chipolata 50 g;891001;941001;1217001;2182001
Escalope de veau 150 g;888001;944001;1243001;2259001
Merguez boeuf mouton 60 g;891001;941001;1217001;2182001
Saucisse de Toulouse 100 g;891001;941001;1217001;2182001
Emincé de boeuf nature sg 2,5 kg;889001;935001;1156001;1968001
Paleron de boeuf sg 3 kg;889001;935001;1156001;1968001
Merguez boeuf/mouton (x10) sg 50 g;889001;935001;1153001;1941001
Chipolata (x20) sg 50 g;889001;935001;1153001;1941001
Lardons fumés 2,5 kg;891001;941001;1217001;2183001
Boisson au soja nature 1 lt;887001;936001;1165001;2009001
Blédine pour adultes miel bt 400 g;885001;900001;991001;1465001
Huile wok épicée bt 1 lt;885001;913001;1049001;1612001
Concombre cube 10/10 sg 2,5 kg;889001;935001;1155001;1954001
Aubergines en cubes 10x10 sg 2,5 kg;889001;935001;1155001;1954001
Mélange de légumes pour couscous sg 2,5 kg;889001;935001;1155001;1956001
Aubergines rondelles grillées sg 2,5 kg;889001;935001;1155001;1955001
Huile de tournesol désodorisée 5 lt;885001;913001;1048001;1608001
Emincé végétal soja et blé sg 3,5 kg;889001;935001;1158001;1980001
Vin Chablis blanc 75 cl;886001;928001;1124001;1846001
Vin Pouilly Fumé blanc 75 cl;886001;928001;1124001;1847001
Pois cassés verts 5 kg;885001;908001;1025001;1557001
Coeur de rumsteak Black Angus kg;888001;944001;1242001;2253001
Jambon sec italien désossé 5,5 kg;891001;941001;1218001;2189001
Saint Marcellin 22% 80 g;887001;937001;1178001;2055001
Coeur de rumsteak Hereford kg;888001;944001;1242001;2253001
Steak haché cuit pur boeuf 15% (x75) sg 70 g;889001;935001;1156001;1965001
Steak haché cuit pur boeuf 15% (x100) sg 50 g;889001;935001;1156001;1965001
Steak haché cuit pur boeuf 15% (x50) sg 100 g;889001;935001;1156001;1965001
Boudin noir aux oignons (x10) 120 g;891001;941001;1217001;2186001
Pâte croûte dromois kg;891001;941001;1220001;2203001
Paleron de boeuf Black Pearl cuit à basse température kg;891001;941001;1219001;2201001
Emincé de dinde s/os s/p sg 10/30 g;889001;935001;1156001;1969001
Haricots blancs sec 5 kg;885001;908001;1025001;1557001
Poulet fermier de Bresse PAC nu 1,4/1,8 kg;892001;942001;1222001;2212001
Cuissot de cerf a/os France s/v;892001;942001;1227001;2227001
Coeur de porc kg;888001;944001;1246001;2268001
Foie de veau tranché (x10) UE kg;888001;944001;1246001;2268001
Moutarde de Dijon 5 lt;885001;910001;1036001;1583001
Lentille verte 5 kg;885001;908001;1025001;1557001
Huile d'olive extra vierge 5 lt;885001;913001;1046001;1605001
Vin Lirac HVE rouge 75 cl;886001;928001;1122001;1830001
Pommes de terre ratte tourbée 28/30 mm 5 kg;893001;939001;1197001;2111001
Vin Jurançon doux blanc 75 cl;886001;928001;1124001;1851001
Champagne brut 75 cl;886001;929001;1125001;1854001
Echine de porc fumée cuite basse température s/v kg;891001;941001;1219001;2201001
"Crevettes ent. crues ""Black Tiger"" sg (31/40) 1 kg";889001;935001;1157001;1972001
Chou chinois kg;893001;939001;1199001;2124001
Courge butternut (doubeurre) kg;893001;939001;1203001;2153001
Tomate grappe kg;893001;939001;1203001;2147001
Pêche HVE kg;893001;938001;1190001;2088001
"Huîtres ""La perle noire"" n°3 (x24) panier 2 kg";894001;945001;1254001;2279001
Crème de parmesan à la truffe d'été pot 190 g;885001;910001;1038001;1587001
"Perles de saveurs ""Sphères"" crème de balsamique brun pot 250 g";894001;945001;1256001;2284001
"Perles de saveurs ""Sphères"" balsamique ambré et truffe pot 250 g";894001;945001;1256001;2284001
Marguerites cacao paquet 150 g (x12);885001;898001;977001;1424001
Jambon cuit à la truffe d'été 10 tr bq 250 g;891001;941001;1219001;2196001
Yaourt à boire panaché 2,9% (x6) 250 g;887001;936001;1167001;2020001
Yaourt à boire myrtille 2,9% 250 g;887001;936001;1167001;2020001
Yaourt à boire mangue 2,9% 250 g;887001;936001;1167001;2020001
Yaourt à boire fraise 2,9% 250 g;887001;936001;1167001;2020001
Yaourt à boire abricot 2,9% 250 g;887001;936001;1167001;2020001
Tiramisu 5,2% (x2) 80 g;887001;936001;1174001;2048001
Biscuit oranger pq 200 g;885001;898001;980001;1437001
"Triangles assortis ""Halloween"" (x105) bt";885001;904001;1010001;1526001
"Assortiment chaudron/fantôme/citrouille ""Halloween"" (x72) bt";885001;904001;1010001;1526001
Fantômes assortis (x88) bt;885001;904001;1010001;1526001
"Assortiment 3 ronds ""Halloween"" (x40) bt";885001;904001;1010001;1526001
"Assortiment 6 ronds ""Halloween"" (x48) bt";885001;904001;1010001;1526001
"Assortiment 3 cônes ""Halloween"" (x50) bt";885001;904001;1010001;1526001
"Assortiment 3 éclairs ""Halloween"" (x70) bt";885001;904001;1010001;1526001
"Assortiment ""Halloween"" (x60) bt";885001;904001;1010001;1526001
"Assortiment 3 éclairs oranges ""Happy Halloween"" (x70) bt";885001;904001;1010001;1526001
"Drapeau ""France"" en chocolat blanc (40x30 mm) (x120)";885001;904001;1010001;1526001
Ballon de rugby chocolat blanc (38x25) (x72);885001;904001;1010001;1526001
"Boule bombée en chocolat ""Joyeuses Fêtes"" 45x50 mm (x60) bt";885001;904001;1010001;1526001
Parpaillote crémier au lait cru 45% 1,2 kg;887001;937001;1180001;2062001
Testadura chèvre 31% 1,9 kg;887001;937001;1180001;2062001
Dextrose sac 5 kg;885001;915001;1056001;1620001
Quinoa rouge sac 2,5 kg;885001;906001;1018001;1547001
"Sarrasin grillé ""Kasha"" 5 kg";885001;906001;1018001;1546001
Mini macarons fraise basilic (x35) sg 14 g;889001;935001;1153001;1943001
Pain de mie tranché sg 1,4 kg;889001;935001;1159001;1992001
Mini beignet caramel (x175) sg 25 g;889001;935001;1159001;1988001
Mini beignet carambar (x35) sg 25 g;889001;935001;1159001;1988001
Purée de myrtilles 100% fruit sg 10 kg;889001;935001;1160001;1994001
Purée Sudachi 100% fruit sg 1 kg;889001;935001;1160001;1994001
Purée de fruits rouges sg 20 kg;889001;935001;1160001;1994001
Demi palette de porc salée s/v 1 kg;891001;941001;1217001;2185001
Palette de porc s/os ficelée s/v 2 kg;891001;941001;1217001;2184001
Rôti de noix de veau de grain s/v 2 kg env.;888001;944001;1243001;2258001
Sous noix de veau SP s/v kg;888001;944001;1243001;2258001
Gigot d'agneau s/os a/ficelle s/v 1,5/1,7 kg;888001;944001;1244001;2261001
Merguez BN (x25) s/at 60 g;891001;941001;1217001;2182001
Diots de savoie fumé (x10) 90 g;891001;941001;1217001;2182001
Vercorais type comté 1/16e 3 kg;887001;937001;1179001;2060001
Bleu du Vercors Sassenage 4/4,5 kg;887001;937001;1181001;2067001
Rôti de porc échine s/os s/v 2 kg;888001;944001;1245001;2264001
Rôti de porc carré s/os a/ficelle s/v 2 kg;888001;944001;1245001;2264001
Sauté de porc épaule s/v 50/60 g;888001;944001;1245001;2265001
Côtelettes d'agneau piécées (x10) s/v 900 g env.;888001;944001;1244001;2261001
Epaule d'agneau a/os a/ficelle s/v 1 kg;888001;944001;1244001;2261001
Saucisson à cuire s/colorant (x4) s/v 1,6 kg;891001;941001;1217001;2182001
Diots de savoie nature (x10) 90 g;891001;941001;1217001;2182001
Yaourt aromatisé framboise-mûre seau 5 kg;887001;936001;1167001;2015001
"Crème légère ""Onctueuse"" aux notes de crème fraîche 12% brique 1 lt";887001;936001;1168001;2024001
Salame spianata piccante 1.25 kg;891001;941001;1218001;2188001
"Fromage chèvre frais ""Tomme mate"" 100 g";887001;937001;1180001;2063001
Raclette nature tranché bq 400 g;887001;937001;1179001;2058001
Yaourt aromatisé pêche seau 5 kg;887001;936001;1167001;2015001
Yaourt aromatisé vanille seau 5 kg;887001;936001;1167001;2015001
Yaourt nature lait entier seau 5 kg;887001;936001;1167001;2018001
"Boguets batonnets ardéchois ""Nature et Progrès"" (x10) 45 g";891001;943001;1236001;2244001
Steak effiloché de porcelet cuit bq 360 g;891001;943001;1238001;2247001
Fromage blanc lisse à la confiture d'abricots (x25) 100 g;887001;936001;1169001;2029001
Yaourt aromatisé fraise seau 5 kg;887001;936001;1167001;2015001
Yaourt aromatisé citron seau 5 kg;887001;936001;1167001;2015001
Joue de cabillaud s/p s/a sg 20/120 g;889001;935001;1157001;1977001
Fromage blanc lisse à la confiture de fraises (x25) 100 g;887001;936001;1169001;2029001
Emmental râpé au lait cru 5 kg;887001;937001;1179001;2061001
Emmental bloc s/v 3,2 kg;887001;937001;1179001;2059001
Munster Géromé pasteurisé (x2) 0,8/1 kg;887001;937001;1178001;2056001
Raclette tr bq 400 g;887001;937001;1179001;2058001
Tomme blanche 1,8 kg;887001;937001;1178001;2055001
Crème glacée crème fraiche d'Isigny bac 2,5 lt;889001;934001;1152001;1938001
Gruyère 1/12 meule (x2) 3,5 kg;887001;937001;1179001;2059001
Crème dessert chocolat lait entier seau 5 kg;887001;936001;1174001;2045001
Crème dessert vanille lait entier seau 5 kg;887001;936001;1174001;2045001
Faux filet de boeuf PAD 2.4 kg env;888001;944001;1242001;2253001
"Steak haché de boeuf bouchère"" (x4) VBF 15% 150 g";888001;944001;1242001;2256001
Lait fermenté au bifidus saveur citron (x4) 125 g;887001;936001;1167001;2021001
Yaourt lait entier à la vanille (x4) 125 g;887001;936001;1167001;2015001
Crème dessert chocolat (x48) 100 g;887001;936001;1174001;2045001
Duo framboise-baie Timut bt 110 g;885001;911001;1042001;1600001
Bûche de chèvre lait pasteurisé 150 g;887001;937001;1180001;2062001
Camembert au lait pasteurisé (x12) 250 g;887001;937001;1178001;2055001
Avocat cubes IQF sg 1 kg;889001;935001;1155001;1954001
Petit chou chocolat noisette sg 18 g;889001;935001;1159001;1988001
"Colis bonbons ""Christmas juicy pop/Surprise pop/Dip pop"" (x60) 3 bt";885001;903001;1006001;1514001
Clémentine cal 4 cat 1 IGP kg;893001;938001;1192001;2094001
Praliné amandes noisettes 5 kg;885001;904001;1010001;1524001
Garniture poires cubes 90% seau 6 kg;885001;904001;1010001;1524001
Brochette de dinde Colorado sg 130 g;889001;935001;1156001;1969001
Plein filet de saumon a/p gratté ASC 180 g s/at 2 kg;894001;945001;1252001;2277001
chips chocolat blanc;885001;902001;997001;1482001
chips chocolat 69 %;885001;902001;997001;1482001
Oeuf moyen 53/63 vrac (x60);887001;936001;1172001;2039001
Pain au chocolat beurre fin (x150) sg 80 g;889001;935001;1159001;1991001
Pain au chocolat pur beurre (x140) sg 80 g;889001;935001;1159001;1991001
Salade macédoine 2,4 kg;891001;943001;1232001;2236001
Salade de mini farfalle aux petits légumes et mozzarella 2 kg;891001;943001;1232001;2236001
Beurre de baratte doux 500 g;887001;936001;1170001;2032001
Crème fraîche liquide 35% MG 1 lt;887001;936001;1168001;2023001
Lait 1/2 écrémé UHT 1 lt;887001;936001;1165001;2005001
Spaetzel sachet 1 kg;891001;943001;1234001;2238001
Chapon sauce aux morilles st 2kg;891001;943001;1238001;2246001
Crème liquide 30% UHT brique 1 lt;887001;936001;1168001;2024001
"Oeuf entier liquide pasteurisé ""Poule au sol MEA"" bidon 1 kg";887001;936001;1172001;2039001
Beurre d'Isigny doux (x30) 20 g;887001;936001;1170001;2032001
Escalope de veau s/v 140g;888001;944001;1243001;2258001
Sirop de grenadine bidon 75 cl;886001;924001;1103001;1779001
Sirop de menthe bidon 75 cl;886001;924001;1103001;1779001
Sirop de fraise bidon 75 cl;886001;924001;1103001;1779001
Sirop de pêche bidon 75 cl;886001;924001;1103001;1779001
Frappes kg;885001;898001;978001;1426001
Sandwich pain poulet crudités 120 g;891001;943001;1240001;2251001
Sandwich pain jambon cru beurre 120 g;891001;943001;1240001;2251001
Bûche de Noël vanille 12 parts;895001;933001;1146001;1918001
Canistrelli amandes kg;885001;898001;980001;1437001
Sirop de citron bidon 75 cl;886001;924001;1103001;1779001
Eau minérale naturelle gazeuse (x24) vp 33 cl;886001;926001;1116001;1810001
Café moulu pq 250 g;885001;899001;983001;1445001
Thé vert nature (x25);885001;901001;994001;1471001
Canistrelli citron kg;885001;898001;980001;1437001
Feuilleté fromage 100 g;891001;943001;1233001;2237001
Feuilleté saucisse 120 g;891001;943001;1233001;2237001
Croissant beurre fin PAC (x165) sg 60 g;889001;935001;1159001;1991001
Galette des rois briochée aux fruits confits et sucre 10 parts;895001;933001;1146001;1919001
Galette des rois frangipane 10 parts;895001;933001;1146001;1919001
Beignets au brocciu 30 g;891001;943001;1233001;2237001
Pain aux céréales 350 g;895001;933001;1143001;1909001
Pain au chocolat 65 g;895001;933001;1144001;1911001
Pain de campagne 350 g;895001;933001;1143001;1908001
"Petit pain ""Hôtel"" 60 g";895001;933001;1143001;1907001
Pizza fromage 120 g;891001;943001;1233001;2237001
"Mini croissant 24% beurre ""Les Authentiques"" cru sg 25 g";889001;935001;1159001;1991001
Sandwich pain thon crudités 120 g;891001;943001;1240001;2251001
Beignet nature 30 g;885001;898001;978001;1426001
Sandwich pain jambon beurre fromage 120 g;891001;943001;1240001;2251001
Brioche au sucre 60 g;895001;933001;1144001;1912001
Chausson aux pommes PAC 27% beurre (x40) sg 120 g;889001;935001;1159001;1991001
Bûche de Noël au chocolat 12 parts;895001;933001;1146001;1918001
Canistrelli nature kg;885001;898001;980001;1437001
Canistrelli anis kg;885001;898001;980001;1437001
Chausson à la crème pâtissière (x45) sg 100 g;889001;935001;1159001;1991001
Eau minérale naturelle gazeuse PET 1 lt;886001;926001;1116001;1810001
Pastel de nata sg 68 g;889001;935001;1159001;1988001
Beignet mascotte nature sg 90 g;889001;935001;1159001;1988001
Beignet mascotte chocolat/noisette sg 130 g;889001;935001;1159001;1988001
Mini beignet chocolat noisette sg 25 g;889001;935001;1159001;1988001
Mini beignet sg 20 g;889001;935001;1159001;1988001
"Set de table papier ""Célyset"" Bd beige (x250) 30x45 cm";890001;956001;1333001;2728001
"Baguette graines ""Les Gourmets"" précuite sg 280 g";889001;935001;1159001;1992001
"Baguettine ""Caractère"" précuite sg 140 g";889001;935001;1159001;1992001
Praliné grain amandes noisettes 50/50 seau 5 kg;885001;904001;1010001;1524001
Fondant souple seau 15 kg;885001;904001;1010001;1524001
"Couscous moyen""Les végétales"" (blé dur + pois chiches) HVE sac 5 kg";885001;906001;1018001;1544001
Pom'potes pomme poire vanille gourde (x48) 90 g;885001;916001;1058001;1623001
"Vin de pays d'Oc Chardonnay ""Cuvée Tatiana"" blanc 2024 75 cl";886001;927001;1120001;1822001
Cabillaud Skrei vidé décapité 2/4 kg;894001;945001;1252001;2277001
Cabillaud Skrei vidé décapité 4/6 kg;894001;945001;1252001;2277001
Pommes de terre Juliette des Sables caisse bois 5 kg;893001;939001;1197001;2112001
Purée d'aubergine grillée bt 2,85 kg;885001;910001;1034001;1579001
"Steak haché de boeuf façon bouchère ""Rond"" race Charolaise 15% (x20) sg 150 g";889001;935001;1156001;1965001
"Compote de pomme mangue orange ""Boost""s/sucres ajoutés (x48) gourde 90 g";885001;916001;1058001;1623001
Piment pili pili moulu 1 kg;885001;911001;1041001;1597001
Emincé de cuisse de poulet cuit saveur Tex-Mex halal sg 1 kg;889001;935001;1158001;1983001
Anneaux de calmars blanchis sg 1 kg;889001;935001;1157001;1971001
Sucre glace sachet 2 kg;885001;915001;1056001;1620001
Pané au cabillaud (Burger) s/a MSC (x10) sg 120 g;889001;935001;1157001;1978001
Perles de poivrons jaunes bq 500 g;891001;943001;1231001;2232001
Yaourt à la Grecque nature (x4) 125 g;887001;936001;1167001;2022001
Vin Bergerac Sauvignon Semillon blanc 2024 75 cl;886001;928001;1124001;1851001
Confiture de fraise bocal 1 kg;885001;916001;1059001;1626001
Sauce caramel au beurre salé 1 kg;885001;904001;1010001;1524001
Perles de poivrons rouges bq 500 g;891001;943001;1231001;2232001
Yaourt à boire saveur chocolat vanille 0% bll 300 g;887001;936001;1167001;2020001
Vin Bergerac rouge 2024 75 cl;886001;928001;1122001;1833001
Saucisson boeuf halal 450 g;891001;941001;1218001;2188001
"Vin Côtes du Rhône villages ""Sainte Cécile"" rouge 2023 37,5 cl";886001;928001;1122001;1830001
Chute de saumon fumé Atlantique sg 1 kg;889001;935001;1157001;1977001
Levure de boulanger (x12) cube 24 g;885001;904001;1010001;1523001
P'tit tigré chocolat (x80) sg 30 g;889001;935001;1159001;1988001
Fruit déco graines passion sg 1 kg;889001;935001;1160001;1994001
Smoothie Pina colada (x15) sg 150 g;889001;935001;1160001;1995001
Brioché (Format apéritif) roulé au pesto 210 g;891001;943001;1233001;2237001
Brioché (Format apéritif) tomate basilic 210 g;891001;943001;1233001;2237001
Brioché (Format apéritif) olive 210 g;891001;943001;1233001;2237001
Filet de brochet s/p s/a sg 100/400 g;889001;935001;1157001;1977001
Andouillette blanc nature à griller s/at 2,5 kg;891001;941001;1217001;2186001
Colin d'Alaska pané cuit à coeur sg 80 g;889001;935001;1157001;1978001
